mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53357797,18,18201,2021,06,0,0,92
53357797,18,18201,2021,06,0,1,88
53357797,18,18201,2021,06,0,2,88
53357797,18,18201,2021,06,1,0,62
53357797,18,18201,2021,06,1,1,86
53357797,18,18201,2021,06,1,2,77
53357797,18,18201,2021,06,2,0,70
53357797,18,18201,2021,06,2,1,87
53357797,18,18201,2021,06,2,2,80
53367176,18,18201,2021,06,0,0,268
53367176,18,18201,2021,06,0,1,201
53367176,18,18201,2021,06,0,2,225
53367176,18,18201,2021,06,1,0,136
53367176,18,18201,2021,06,1,1,278
53367176,18,18201,2021,06,1,2,213
53367176,18,18201,2021,06,2,0,171
53367176,18,18201,2021,06,2,1,257
53367176,18,18201,2021,06,2,2,216
53367186,18,18201,2021,06,0,0,187
53367186,18,18201,2021,06,0,1,68
53367186,18,18201,2021,06,0,2,150
53367186,18,18201,2021,06,1,0,130
53367186,18,18201,2021,06,1,1,110
53367186,18,18201,2021,06,1,2,122
53367186,18,18201,2021,06,2,0,145
53367186,18,18201,2021,06,2,1,99
53367186,18,18201,2021,06,2,2,130
53367187,18,18201,2021,06,0,0,14
53367187,18,18201,2021,06,1,0,12
53367187,18,18201,2021,06,1,1,10
53367187,18,18201,2021,06,2,0,12
53367189,18,18201,2021,06,0,0,147
53367189,18,18201,2021,06,0,1,229
53367189,18,18201,2021,06,0,2,202
53367189,18,18201,2021,06,1,0,152
53367189,18,18201,2021,06,1,1,214
53367189,18,18201,2021,06,1,2,174
53367189,18,18201,2021,06,2,0,151
53367189,18,18201,2021,06,2,1,218
53367189,18,18201,2021,06,2,2,182
53367191,18,18201,2021,06,0,0,353
53367191,18,18201,2021,06,0,1,452
53367191,18,18201,2021,06,0,2,415
53367191,18,18201,2021,06,1,0,267
53367191,18,18201,2021,06,1,1,465
53367191,18,18201,2021,06,1,2,364
53367191,18,18201,2021,06,2,0,290
53367191,18,18201,2021,06,2,1,462
53367191,18,18201,2021,06,2,2,377
53367192,18,18201,2021,06,0,0,176
53367192,18,18201,2021,06,0,1,104
53367192,18,18201,2021,06,0,2,114
53367192,18,18201,2021,06,1,0,146
53367192,18,18201,2021,06,1,1,58
53367192,18,18201,2021,06,1,2,112
53367192,18,18201,2021,06,2,0,154
53367192,18,18201,2021,06,2,1,70
53367192,18,18201,2021,06,2,2,112
53367194,18,18201,2021,06,0,0,46
53367194,18,18201,2021,06,0,1,29
53367194,18,18201,2021,06,0,2,33
53367194,18,18201,2021,06,1,0,76
53367194,18,18201,2021,06,1,1,21
53367194,18,18201,2021,06,1,2,34
53367194,18,18201,2021,06,2,0,68
53367194,18,18201,2021,06,2,1,23
53367194,18,18201,2021,06,2,2,34
53367195,18,18201,2021,06,0,0,1072
53367195,18,18201,2021,06,0,1,1291
53367195,18,18201,2021,06,0,2,1133
53367195,18,18201,2021,06,1,0,1446
53367195,18,18201,2021,06,1,1,1232
53367195,18,18201,2021,06,1,2,1266
53367195,18,18201,2021,06,2,0,1346
53367195,18,18201,2021,06,2,1,1248
53367195,18,18201,2021,06,2,2,1231
53367196,18,18201,2021,06,0,0,627
53367196,18,18201,2021,06,0,1,429
53367196,18,18201,2021,06,0,2,581
53367196,18,18201,2021,06,1,0,698
53367196,18,18201,2021,06,1,1,524
53367196,18,18201,2021,06,1,2,675
53367196,18,18201,2021,06,2,0,679
53367196,18,18201,2021,06,2,1,499
53367196,18,18201,2021,06,2,2,650
53367197,18,18201,2021,06,0,0,42
53367197,18,18201,2021,06,0,2,20
53367197,18,18201,2021,06,1,0,26
53367197,18,18201,2021,06,1,2,22
53367197,18,18201,2021,06,2,0,30
53367197,18,18201,2021,06,2,2,21
53367198,18,18201,2021,06,0,2,10
53367198,18,18201,2021,06,1,0,12
53367198,18,18201,2021,06,2,0,11
53367199,18,18201,2021,06,0,0,53
53367199,18,18201,2021,06,0,1,28
53367199,18,18201,2021,06,0,2,62
53367199,18,18201,2021,06,2,0,17
53367199,18,18201,2021,06,2,2,21
53367238,18,18201,2021,06,1,0,20
53367238,18,18201,2021,06,1,1,30
53367238,18,18201,2021,06,1,2,27
53367238,18,18201,2021,06,2,0,16
53367238,18,18201,2021,06,2,1,22
53367238,18,18201,2021,06,2,2,20
53367248,18,18201,2021,06,1,0,16
53367248,18,18201,2021,06,2,0,13
53367259,18,18201,2021,06,0,0,50
53367259,18,18201,2021,06,0,1,43
53367259,18,18201,2021,06,0,2,31
53367259,18,18201,2021,06,2,0,17
53367259,18,18201,2021,06,2,1,12
53367259,18,18201,2021,06,2,2,12
53367279,18,18201,2021,06,1,0,10
53367280,18,18201,2021,06,0,0,423
53367280,18,18201,2021,06,0,1,662
53367280,18,18201,2021,06,0,2,576
53367280,18,18201,2021,06,1,0,136
53367280,18,18201,2021,06,1,1,509
53367280,18,18201,2021,06,1,2,374
53367280,18,18201,2021,06,2,0,212
53367280,18,18201,2021,06,2,1,550
53367280,18,18201,2021,06,2,2,428
53367281,18,18201,2021,06,0,0,227
53367281,18,18201,2021,06,0,1,172
53367281,18,18201,2021,06,0,2,193
53367281,18,18201,2021,06,1,0,32
53367281,18,18201,2021,06,1,1,110
53367281,18,18201,2021,06,1,2,70
53367281,18,18201,2021,06,2,0,84
53367281,18,18201,2021,06,2,1,127
53367281,18,18201,2021,06,2,2,102
53367282,18,18201,2021,06,0,0,61
53367282,18,18201,2021,06,0,1,276
53367282,18,18201,2021,06,0,2,186
53367282,18,18201,2021,06,1,0,24
53367282,18,18201,2021,06,1,1,224
53367282,18,18201,2021,06,1,2,136
53367282,18,18201,2021,06,2,0,34
53367282,18,18201,2021,06,2,1,238
53367282,18,18201,2021,06,2,2,149
53367283,18,18201,2021,06,0,2,11
53367283,18,18201,2021,06,1,0,138
53367283,18,18201,2021,06,1,1,38
53367283,18,18201,2021,06,1,2,51
53367283,18,18201,2021,06,2,0,104
53367283,18,18201,2021,06,2,1,28
53367283,18,18201,2021,06,2,2,41
53367288,18,18201,2021,06,0,0,337
53367288,18,18201,2021,06,0,1,442
53367288,18,18201,2021,06,0,2,378
53367288,18,18201,2021,06,1,0,286
53367288,18,18201,2021,06,1,1,448
53367288,18,18201,2021,06,1,2,355
53367288,18,18201,2021,06,2,0,300
53367288,18,18201,2021,06,2,1,447
53367288,18,18201,2021,06,2,2,361
53367289,18,18201,2021,06,1,0,20
53367289,18,18201,2021,06,1,2,14
53367289,18,18201,2021,06,2,0,16
53367289,18,18201,2021,06,2,2,11
53367290,18,18201,2021,06,0,0,41
53367290,18,18201,2021,06,0,1,21
53367290,18,18201,2021,06,0,2,43
53367290,18,18201,2021,06,1,0,32
53367290,18,18201,2021,06,1,1,32
53367290,18,18201,2021,06,1,2,33
53367290,18,18201,2021,06,2,0,34
53367290,18,18201,2021,06,2,1,29
53367290,18,18201,2021,06,2,2,36
53367291,18,18201,2021,06,0,1,29
53367291,18,18201,2021,06,0,2,18
53367291,18,18201,2021,06,2,2,10
53367293,18,18201,2021,06,0,0,34
53367293,18,18201,2021,06,0,2,18
53367293,18,18201,2021,06,1,0,30
53367293,18,18201,2021,06,1,2,26
53367293,18,18201,2021,06,2,0,31
53367293,18,18201,2021,06,2,2,24
53367294,18,18201,2021,06,0,0,14
53367298,18,18201,2021,06,0,0,79
53367298,18,18201,2021,06,0,1,53
53367298,18,18201,2021,06,0,2,64
53367298,18,18201,2021,06,1,0,146
53367298,18,18201,2021,06,1,1,50
53367298,18,18201,2021,06,1,2,109
53367298,18,18201,2021,06,2,0,128
53367298,18,18201,2021,06,2,1,51
53367298,18,18201,2021,06,2,2,97
53367299,18,18201,2021,06,0,0,197
53367299,18,18201,2021,06,0,1,311
53367299,18,18201,2021,06,0,2,259
53367299,18,18201,2021,06,1,0,73
53367299,18,18201,2021,06,1,1,321
53367299,18,18201,2021,06,1,2,210
53367299,18,18201,2021,06,2,0,106
53367299,18,18201,2021,06,2,1,319
53367299,18,18201,2021,06,2,2,223
53367335,18,18201,2021,06,1,0,10
53367344,18,18201,2021,06,0,0,11
53367353,18,18201,2021,06,0,0,55
53367353,18,18201,2021,06,0,2,16
53367353,18,18201,2021,06,1,0,31
53367353,18,18201,2021,06,1,2,19
53367353,18,18201,2021,06,2,0,38
53367353,18,18201,2021,06,2,2,18
53367381,18,18201,2021,06,0,0,104
53367381,18,18201,2021,06,0,1,86
53367381,18,18201,2021,06,0,2,89
53367381,18,18201,2021,06,1,0,90
53367381,18,18201,2021,06,1,1,90
53367381,18,18201,2021,06,1,2,90
53367381,18,18201,2021,06,2,0,94
53367381,18,18201,2021,06,2,1,89
53367381,18,18201,2021,06,2,2,90
53367392,18,18201,2021,06,1,0,21
53367392,18,18201,2021,06,1,1,20
53367392,18,18201,2021,06,1,2,21
53367392,18,18201,2021,06,2,0,15
53367392,18,18201,2021,06,2,1,15
53367392,18,18201,2021,06,2,2,16
53367393,18,18201,2021,06,0,0,25
53367393,18,18201,2021,06,0,2,11
53367393,18,18201,2021,06,1,0,25
53367393,18,18201,2021,06,1,2,12
53367393,18,18201,2021,06,2,0,25
53367393,18,18201,2021,06,2,2,11
53367394,18,18201,2021,06,0,0,59
53367394,18,18201,2021,06,0,1,43
53367394,18,18201,2021,06,0,2,60
53367394,18,18201,2021,06,1,0,23
53367394,18,18201,2021,06,1,2,27
53367394,18,18201,2021,06,2,0,33
53367394,18,18201,2021,06,2,1,18
53367394,18,18201,2021,06,2,2,35
53367395,18,18201,2021,06,0,0,30
53367395,18,18201,2021,06,0,1,26
53367395,18,18201,2021,06,0,2,29
53367395,18,18201,2021,06,1,0,30
53367395,18,18201,2021,06,1,1,38
53367395,18,18201,2021,06,1,2,34
53367395,18,18201,2021,06,2,0,30
53367395,18,18201,2021,06,2,1,35
53367395,18,18201,2021,06,2,2,32
54350708,18,18201,2021,06,0,0,90
54350708,18,18201,2021,06,0,1,83
54350708,18,18201,2021,06,0,2,85
54350708,18,18201,2021,06,1,0,13
54350708,18,18201,2021,06,1,2,12
54350708,18,18201,2021,06,2,0,34
54350708,18,18201,2021,06,2,1,22
54350708,18,18201,2021,06,2,2,31
54350719,18,18201,2021,06,0,0,105
54350719,18,18201,2021,06,0,1,46
54350719,18,18201,2021,06,0,2,80
54350719,18,18201,2021,06,1,0,225
54350719,18,18201,2021,06,1,1,29
54350719,18,18201,2021,06,1,2,110
54350719,18,18201,2021,06,2,0,193
54350719,18,18201,2021,06,2,1,33
54350719,18,18201,2021,06,2,2,102
54350729,18,18201,2021,06,0,0,79
54350729,18,18201,2021,06,0,1,43
54350729,18,18201,2021,06,0,2,50
54350729,18,18201,2021,06,1,0,28
