year,month,dayflag,timezone,prefcode,citycode,from_area,population
2021,05,0,0,18,18201,0,225824
2021,05,0,0,18,18201,1,43774
2021,05,0,0,18,18201,2,4120
2021,05,0,0,18,18201,3,8162
2021,05,0,1,18,18201,0,246460
2021,05,0,1,18,18201,1,15589
2021,05,0,1,18,18201,2,2623
2021,05,0,1,18,18201,3,7409
2021,05,0,2,18,18201,0,238542
2021,05,0,2,18,18201,1,27315
2021,05,0,2,18,18201,2,3122
2021,05,0,2,18,18201,3,7604
2021,05,1,0,18,18201,0,214073
2021,05,1,0,18,18201,1,75976
2021,05,1,0,18,18201,2,6035
2021,05,1,0,18,18201,3,5358
2021,05,1,1,18,18201,0,250030
2021,05,1,1,18,18201,1,18961
2021,05,1,1,18,18201,2,2797
2021,05,1,1,18,18201,3,5173
2021,05,1,2,18,18201,0,234119
2021,05,1,2,18,18201,1,45649
2021,05,1,2,18,18201,2,4235
2021,05,1,2,18,18201,3,5145
2021,05,2,0,18,18201,0,219001
2021,05,2,0,18,18201,1,62472
2021,05,2,0,18,18201,2,5232
2021,05,2,0,18,18201,3,6534
2021,05,2,1,18,18201,0,248533
2021,05,2,1,18,18201,1,17547
2021,05,2,1,18,18201,2,2724
2021,05,2,1,18,18201,3,6111
2021,05,2,2,18,18201,0,235974
2021,05,2,2,18,18201,1,37961
2021,05,2,2,18,18201,2,3768
2021,05,2,2,18,18201,3,6176
2021,05,0,0,18,18202,0,53191
2021,05,0,0,18,18202,1,6321
2021,05,0,0,18,18202,2,1088
2021,05,0,0,18,18202,3,6632
2021,05,0,1,18,18202,0,58246
2021,05,0,1,18,18202,1,2602
2021,05,0,1,18,18202,2,650
2021,05,0,1,18,18202,3,3737
2021,05,0,2,18,18202,0,56339
2021,05,0,2,18,18202,1,4175
2021,05,0,2,18,18202,2,859
2021,05,0,2,18,18202,3,4851
2021,05,1,0,18,18202,0,56333
2021,05,1,0,18,18202,1,8796
2021,05,1,0,18,18202,2,1279
2021,05,1,0,18,18202,3,4073
2021,05,1,1,18,18202,0,61368
2021,05,1,1,18,18202,1,2365
2021,05,1,1,18,18202,2,815
2021,05,1,1,18,18202,3,2917
2021,05,1,2,18,18202,0,59085
2021,05,1,2,18,18202,1,5348
2021,05,1,2,18,18202,2,1031
2021,05,1,2,18,18202,3,3450
2021,05,2,0,18,18202,0,55016
2021,05,2,0,18,18202,1,7758
2021,05,2,0,18,18202,2,1199
2021,05,2,0,18,18202,3,5146
2021,05,2,1,18,18202,0,60059
2021,05,2,1,18,18202,1,2465
2021,05,2,1,18,18202,2,746
2021,05,2,1,18,18202,3,3261
2021,05,2,2,18,18202,0,57933
2021,05,2,2,18,18202,1,4856
2021,05,2,2,18,18202,2,959
2021,05,2,2,18,18202,3,4037
2021,05,0,0,18,18204,0,23932
2021,05,0,0,18,18204,1,2949
2021,05,0,0,18,18204,2,574
2021,05,0,0,18,18204,3,3398
2021,05,0,1,18,18204,0,26259
2021,05,0,1,18,18204,1,1160
2021,05,0,1,18,18204,2,530
2021,05,0,1,18,18204,3,1972
2021,05,0,2,18,18204,0,25368
2021,05,0,2,18,18204,1,1912
2021,05,0,2,18,18204,2,497
2021,05,0,2,18,18204,3,2368
2021,05,1,0,18,18204,0,23029
2021,05,1,0,18,18204,1,4534
2021,05,1,0,18,18204,2,400
2021,05,1,0,18,18204,3,1495
2021,05,1,1,18,18204,0,27061
2021,05,1,1,18,18204,1,1291
2021,05,1,1,18,18204,2,334
2021,05,1,1,18,18204,3,845
2021,05,1,2,18,18204,0,25327
2021,05,1,2,18,18204,1,2817
2021,05,1,2,18,18204,2,366
2021,05,1,2,18,18204,3,1066
2021,05,2,0,18,18204,0,23408
2021,05,2,0,18,18204,1,3869
2021,05,2,0,18,18204,2,473
2021,05,2,0,18,18204,3,2293
2021,05,2,1,18,18204,0,26725
2021,05,2,1,18,18204,1,1236
2021,05,2,1,18,18204,2,416
2021,05,2,1,18,18204,3,1318
2021,05,2,2,18,18204,0,25344
2021,05,2,2,18,18204,1,2437
2021,05,2,2,18,18204,2,421
2021,05,2,2,18,18204,3,1612
2021,05,0,0,18,18205,0,27064
2021,05,0,0,18,18205,1,5736
2021,05,0,0,18,18205,2,482
2021,05,0,0,18,18205,3,1714
2021,05,0,1,18,18205,0,30319
2021,05,0,1,18,18205,1,1599
2021,05,0,1,18,18205,2,154
2021,05,0,1,18,18205,3,666
2021,05,0,2,18,18205,0,29044
2021,05,0,2,18,18205,1,3015
2021,05,0,2,18,18205,2,252
2021,05,0,2,18,18205,3,986
2021,05,1,0,18,18205,0,24014
