year,month,dayflag,timezone,prefcode,citycode,from_area,population
2021,07,0,0,18,18201,0,222932
2021,07,0,0,18,18201,1,48455
2021,07,0,0,18,18201,2,4195
2021,07,0,0,18,18201,3,9118
2021,07,0,1,18,18201,0,244881
2021,07,0,1,18,18201,1,17332
2021,07,0,1,18,18201,2,2479
2021,07,0,1,18,18201,3,7886
2021,07,0,2,18,18201,0,235663
2021,07,0,2,18,18201,1,30298
2021,07,0,2,18,18201,2,3229
2021,07,0,2,18,18201,3,8348
2021,07,1,0,18,18201,0,213616
2021,07,1,0,18,18201,1,77354
2021,07,1,0,18,18201,2,5596
2021,07,1,0,18,18201,3,7006
2021,07,1,1,18,18201,0,248540
2021,07,1,1,18,18201,1,19367
2021,07,1,1,18,18201,2,2407
2021,07,1,1,18,18201,3,6139
2021,07,1,2,18,18201,0,232795
2021,07,1,2,18,18201,1,46787
2021,07,1,2,18,18201,2,3717
2021,07,1,2,18,18201,3,6528
2021,07,2,0,18,18201,0,216922
2021,07,2,0,18,18201,1,67099
2021,07,2,0,18,18201,2,5099
2021,07,2,0,18,18201,3,7755
2021,07,2,1,18,18201,0,247241
2021,07,2,1,18,18201,1,18645
2021,07,2,1,18,18201,2,2433
2021,07,2,1,18,18201,3,6759
2021,07,2,2,18,18201,0,233813
2021,07,2,2,18,18201,1,40936
2021,07,2,2,18,18201,2,3544
2021,07,2,2,18,18201,3,7174
2021,07,0,0,18,18202,0,52515
2021,07,0,0,18,18202,1,7346
2021,07,0,0,18,18202,2,971
2021,07,0,0,18,18202,3,8787
2021,07,0,1,18,18202,0,57943
2021,07,0,1,18,18202,1,2439
2021,07,0,1,18,18202,2,542
2021,07,0,1,18,18202,3,4706
2021,07,0,2,18,18202,0,55760
2021,07,0,2,18,18202,1,4346
2021,07,0,2,18,18202,2,719
2021,07,0,2,18,18202,3,6408
2021,07,1,0,18,18202,0,55974
2021,07,1,0,18,18202,1,8824
2021,07,1,0,18,18202,2,982
2021,07,1,0,18,18202,3,4539
2021,07,1,1,18,18202,0,61195
2021,07,1,1,18,18202,1,2341
2021,07,1,1,18,18202,2,711
2021,07,1,1,18,18202,3,3244
2021,07,1,2,18,18202,0,58765
2021,07,1,2,18,18202,1,5273
2021,07,1,2,18,18202,2,831
2021,07,1,2,18,18202,3,4017
2021,07,2,0,18,18202,0,54747
2021,07,2,0,18,18202,1,8300
2021,07,2,0,18,18202,2,978
2021,07,2,0,18,18202,3,6047
2021,07,2,1,18,18202,0,60041
2021,07,2,1,18,18202,1,2376
2021,07,2,1,18,18202,2,651
2021,07,2,1,18,18202,3,3763
2021,07,2,2,18,18202,0,57699
2021,07,2,2,18,18202,1,4944
2021,07,2,2,18,18202,2,791
2021,07,2,2,18,18202,3,4865
2021,07,0,0,18,18204,0,23822
2021,07,0,0,18,18204,1,3125
2021,07,0,0,18,18204,2,292
2021,07,0,0,18,18204,3,4668
2021,07,0,1,18,18204,0,26000
2021,07,0,1,18,18204,1,1336
2021,07,0,1,18,18204,2,225
2021,07,0,1,18,18204,3,2160
2021,07,0,2,18,18204,0,25161
2021,07,0,2,18,18204,1,2053
2021,07,0,2,18,18204,2,250
2021,07,0,2,18,18204,3,3044
2021,07,1,0,18,18204,0,22975
2021,07,1,0,18,18204,1,3784
2021,07,1,0,18,18204,2,182
2021,07,1,0,18,18204,3,1896
2021,07,1,1,18,18204,0,26809
2021,07,1,1,18,18204,1,1366
2021,07,1,1,18,18204,2,52
2021,07,1,1,18,18204,3,1269
2021,07,1,2,18,18204,0,25103
2021,07,1,2,18,18204,1,2502
2021,07,1,2,18,18204,2,97
2021,07,1,2,18,18204,3,1487
2021,07,2,0,18,18204,0,23275
2021,07,2,0,18,18204,1,3550
2021,07,2,0,18,18204,2,221
2021,07,2,0,18,18204,3,2879
2021,07,2,1,18,18204,0,26522
2021,07,2,1,18,18204,1,1356
2021,07,2,1,18,18204,2,113
2021,07,2,1,18,18204,3,1585
2021,07,2,2,18,18204,0,25124
2021,07,2,2,18,18204,1,2343
2021,07,2,2,18,18204,2,151
2021,07,2,2,18,18204,3,2040
2021,07,0,0,18,18205,0,25801
2021,07,0,0,18,18205,1,4944
2021,07,0,0,18,18205,2,644
2021,07,0,0,18,18205,3,2053
2021,07,0,1,18,18205,0,29850
2021,07,0,1,18,18205,1,1617
2021,07,0,1,18,18205,2,393
2021,07,0,1,18,18205,3,1132
2021,07,0,2,18,18205,0,28155
2021,07,0,2,18,18205,1,2711
2021,07,0,2,18,18205,2,439
2021,07,0,2,18,18205,3,1459
2021,07,1,0,18,18205,0,22784
2021,07,1,0,18,18205,1,5172
2021,07,1,0,18,18205,2,357
2021,07,1,0,18,18205,3,1257
2021,07,1,1,18,18205,0,30156
2021,07,1,1,18,18205,1,1119
2021,07,1,1,18,18205,2,51
2021,07,1,1,18,18205,3,583
2021,07,1,2,18,18205,0,26894
2021,07,1,2,18,18205,1,2676
2021,07,1,2,18,18205,2,153
2021,07,1,2,18,18205,3,846
2021,07,2,0,18,18205,0,23854
2021,07,2,0,18,18205,1,5091
2021,07,2,0,18,18205,2,459
2021,07,2,0,18,18205,3,1539
2021,07,2,1,18,18205,0,30048
2021,07,2,1,18,18205,1,1296
2021,07,2,1,18,18205,2,172
2021,07,2,1,18,18205,3,778
2021,07,2,2,18,18205,0,27341
2021,07,2,2,18,18205,1,2689
2021,07,2,2,18,18205,2,254
2021,07,2,2,18,18205,3,1063
2021,07,0,0,18,18206,0,18021
2021,07,0,0,18,18206,1,2476
2021,07,0,0,18,18206,2,304
2021,07,0,0,18,18206,3,2082
2021,07,0,1,18,18206,0,22243
2021,07,0,1,18,18206,1,1019
2021,07,0,1,18,18206,2,88
2021,07,0,1,18,18206,3,694
2021,07,0,2,18,18206,0,20778
2021,07,0,2,18,18206,1,1573
2021,07,0,2,18,18206,2,153
2021,07,0,2,18,18206,3,1058
2021,07,1,0,18,18206,0,15709
2021,07,1,0,18,18206,1,3391
2021,07,1,0,18,18206,2,234
2021,07,1,0,18,18206,3,714
2021,07,1,1,18,18206,0,21996
2021,07,1,1,18,18206,1,970
2021,07,1,1,18,18206,2,20
2021,07,1,1,18,18206,3,382
2021,07,1,2,18,18206,0,19266
2021,07,1,2,18,18206,1,1898
2021,07,1,2,18,18206,2,78
2021,07,1,2,18,18206,3,460
2021,07,2,0,18,18206,0,16529
2021,07,2,0,18,18206,1,3066
2021,07,2,0,18,18206,2,259
2021,07,2,0,18,18206,3,1199
2021,07,2,1,18,18206,0,22084
2021,07,2,1,18,18206,1,987
2021,07,2,1,18,18206,2,44
2021,07,2,1,18,18206,3,493
2021,07,2,2,18,18206,0,19802
2021,07,2,2,18,18206,1,1783
2021,07,2,2,18,18206,2,105
2021,07,2,2,18,18206,3,672
2021,07,0,0,18,18207,0,48989
2021,07,0,0,18,18207,1,13144
2021,07,0,0,18,18207,2,454
2021,07,0,0,18,18207,3,1495
2021,07,0,1,18,18207,0,60111
2021,07,0,1,18,18207,1,4883
2021,07,0,1,18,18207,2,312
2021,07,0,1,18,18207,3,1504
2021,07,0,2,18,18207,0,55759
2021,07,0,2,18,18207,1,8697
2021,07,0,2,18,18207,2,359
2021,07,0,2,18,18207,3,1473
2021,07,1,0,18,18207,0,41662
2021,07,1,0,18,18207,1,17119
2021,07,1,0,18,18207,2,583
2021,07,1,0,18,18207,3,1313
2021,07,1,1,18,18207,0,60700
2021,07,1,1,18,18207,1,5188
2021,07,1,1,18,18207,2,349
2021,07,1,1,18,18207,3,1052
2021,07,1,2,18,18207,0,52041
2021,07,1,2,18,18207,1,10916
