year,month,dayflag,timezone,prefcode,citycode,from_area,population
2021,01,0,0,18,18201,0,233599
2021,01,0,0,18,18201,1,35431
2021,01,0,0,18,18201,2,4057
2021,01,0,0,18,18201,3,7268
2021,01,0,1,18,18201,0,245182
2021,01,0,1,18,18201,1,14027
2021,01,0,1,18,18201,2,2699
2021,01,0,1,18,18201,3,6881
2021,01,0,2,18,18201,0,240762
2021,01,0,2,18,18201,1,22495
2021,01,0,2,18,18201,2,3224
2021,01,0,2,18,18201,3,6962
2021,01,1,0,18,18201,0,216411
2021,01,1,0,18,18201,1,70976
2021,01,1,0,18,18201,2,5379
2021,01,1,0,18,18201,3,5787
2021,01,1,1,18,18201,0,249154
2021,01,1,1,18,18201,1,18447
2021,01,1,1,18,18201,2,2143
2021,01,1,1,18,18201,3,5290
2021,01,1,2,18,18201,0,234551
2021,01,1,2,18,18201,1,42896
2021,01,1,2,18,18201,2,3595
2021,01,1,2,18,18201,3,5450
2021,01,2,0,18,18201,0,223065
2021,01,2,0,18,18201,1,57216
2021,01,2,0,18,18201,2,4867
2021,01,2,0,18,18201,3,6360
2021,01,2,1,18,18201,0,247616
2021,01,2,1,18,18201,1,16736
2021,01,2,1,18,18201,2,2358
2021,01,2,1,18,18201,3,5906
2021,01,2,2,18,18201,0,236955
2021,01,2,2,18,18201,1,34999
2021,01,2,2,18,18201,2,3451
2021,01,2,2,18,18201,3,6035
2021,01,0,0,18,18202,0,54911
2021,01,0,0,18,18202,1,5990
2021,01,0,0,18,18202,2,907
2021,01,0,0,18,18202,3,5197
2021,01,0,1,18,18202,0,58373
2021,01,0,1,18,18202,1,2823
2021,01,0,1,18,18202,2,538
2021,01,0,1,18,18202,3,3377
2021,01,0,2,18,18202,0,57044
2021,01,0,2,18,18202,1,4060
2021,01,0,2,18,18202,2,715
2021,01,0,2,18,18202,3,4062
2021,01,1,0,18,18202,0,56041
2021,01,1,0,18,18202,1,8951
2021,01,1,0,18,18202,2,1529
2021,01,1,0,18,18202,3,4056
2021,01,1,1,18,18202,0,60827
2021,01,1,1,18,18202,1,2590
2021,01,1,1,18,18202,2,1256
2021,01,1,1,18,18202,3,3078
2021,01,1,2,18,18202,0,58695
2021,01,1,2,18,18202,1,5384
2021,01,1,2,18,18202,2,1380
2021,01,1,2,18,18202,3,3525
2021,01,2,0,18,18202,0,55604
2021,01,2,0,18,18202,1,7805
2021,01,2,0,18,18202,2,1288
2021,01,2,0,18,18202,3,4498
2021,01,2,1,18,18202,0,59877
2021,01,2,1,18,18202,1,2680
2021,01,2,1,18,18202,2,978
2021,01,2,1,18,18202,3,3194
2021,01,2,2,18,18202,0,58056
2021,01,2,2,18,18202,1,4872
2021,01,2,2,18,18202,2,1122
2021,01,2,2,18,18202,3,3733
2021,01,0,0,18,18204,0,24223
2021,01,0,0,18,18204,1,2536
2021,01,0,0,18,18204,2,425
2021,01,0,0,18,18204,3,2022
2021,01,0,1,18,18204,0,26666
2021,01,0,1,18,18204,1,1306
2021,01,0,1,18,18204,2,383
2021,01,0,1,18,18204,3,1733
2021,01,0,2,18,18204,0,25766
2021,01,0,2,18,18204,1,1817
2021,01,0,2,18,18204,2,393
2021,01,0,2,18,18204,3,1763
2021,01,1,0,18,18204,0,22547
