mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53357797,18,18201,2021,02,0,0,99
53357797,18,18201,2021,02,0,1,45
53357797,18,18201,2021,02,0,2,61
53357797,18,18201,2021,02,1,0,22
53357797,18,18201,2021,02,1,1,19
53357797,18,18201,2021,02,1,2,27
53357797,18,18201,2021,02,2,0,50
53357797,18,18201,2021,02,2,1,28
53357797,18,18201,2021,02,2,2,39
53367176,18,18201,2021,02,0,0,140
53367176,18,18201,2021,02,0,1,108
53367176,18,18201,2021,02,0,2,134
53367176,18,18201,2021,02,1,0,198
53367176,18,18201,2021,02,1,1,196
53367176,18,18201,2021,02,1,2,205
53367176,18,18201,2021,02,2,0,177
53367176,18,18201,2021,02,2,1,164
53367176,18,18201,2021,02,2,2,180
53367186,18,18201,2021,02,0,0,175
53367186,18,18201,2021,02,0,1,87
53367186,18,18201,2021,02,0,2,127
53367186,18,18201,2021,02,1,0,236
53367186,18,18201,2021,02,1,1,124
53367186,18,18201,2021,02,1,2,185
53367186,18,18201,2021,02,2,0,214
53367186,18,18201,2021,02,2,1,111
53367186,18,18201,2021,02,2,2,164
53367187,18,18201,2021,02,0,0,18
53367187,18,18201,2021,02,0,1,28
53367187,18,18201,2021,02,0,2,18
53367187,18,18201,2021,02,2,1,10
53367189,18,18201,2021,02,0,0,141
53367189,18,18201,2021,02,0,1,205
53367189,18,18201,2021,02,0,2,179
53367189,18,18201,2021,02,1,0,148
53367189,18,18201,2021,02,1,1,194
53367189,18,18201,2021,02,1,2,155
53367189,18,18201,2021,02,2,0,145
53367189,18,18201,2021,02,2,1,198
53367189,18,18201,2021,02,2,2,164
53367191,18,18201,2021,02,0,0,253
53367191,18,18201,2021,02,0,1,435
53367191,18,18201,2021,02,0,2,321
53367191,18,18201,2021,02,1,0,291
53367191,18,18201,2021,02,1,1,515
53367191,18,18201,2021,02,1,2,377
53367191,18,18201,2021,02,2,0,278
53367191,18,18201,2021,02,2,1,486
53367191,18,18201,2021,02,2,2,357
53367192,18,18201,2021,02,0,0,89
53367192,18,18201,2021,02,0,1,69
