year,month,dayflag,timezone,prefcode,citycode,from_area,population
2021,12,0,0,18,18201,0,223602
2021,12,0,0,18,18201,1,48493
2021,12,0,0,18,18201,2,4472
2021,12,0,0,18,18201,3,9809
2021,12,0,1,18,18201,0,241503
2021,12,0,1,18,18201,1,18054
2021,12,0,1,18,18201,2,2252
2021,12,0,1,18,18201,3,8488
2021,12,0,2,18,18201,0,234412
2021,12,0,2,18,18201,1,30986
2021,12,0,2,18,18201,2,3204
2021,12,0,2,18,18201,3,8982
2021,12,1,0,18,18201,0,213404
2021,12,1,0,18,18201,1,68938
2021,12,1,0,18,18201,2,5911
2021,12,1,0,18,18201,3,9519
2021,12,1,1,18,18201,0,242985
2021,12,1,1,18,18201,1,19995
2021,12,1,1,18,18201,2,2690
2021,12,1,1,18,18201,3,8854
2021,12,1,2,18,18201,0,229631
2021,12,1,2,18,18201,1,43267
2021,12,1,2,18,18201,2,4172
2021,12,1,2,18,18201,3,9325
2021,12,2,0,18,18201,0,216036
2021,12,2,0,18,18201,1,63662
2021,12,2,0,18,18201,2,5540
2021,12,2,0,18,18201,3,9594
2021,12,2,1,18,18201,0,242603
2021,12,2,1,18,18201,1,19494
2021,12,2,1,18,18201,2,2577
2021,12,2,1,18,18201,3,8759
2021,12,2,2,18,18201,0,230864
2021,12,2,2,18,18201,1,40098
2021,12,2,2,18,18201,2,3922
2021,12,2,2,18,18201,3,9237
2021,12,0,0,18,18202,0,52674
2021,12,0,0,18,18202,1,6947
2021,12,0,0,18,18202,2,1090
2021,12,0,0,18,18202,3,6315
2021,12,0,1,18,18202,0,58763
2021,12,0,1,18,18202,1,2951
2021,12,0,1,18,18202,2,627
2021,12,0,1,18,18202,3,2887
2021,12,0,2,18,18202,0,56160
2021,12,0,2,18,18202,1,4619
2021,12,0,2,18,18202,2,904
2021,12,0,2,18,18202,3,4230
2021,12,1,0,18,18202,0,53777
2021,12,1,0,18,18202,1,8408
2021,12,1,0,18,18202,2,1559
2021,12,1,0,18,18202,3,5304
2021,12,1,1,18,18202,0,59703
2021,12,1,1,18,18202,1,2413
2021,12,1,1,18,18202,2,1247
2021,12,1,1,18,18202,3,3469
2021,12,1,2,18,18202,0,56964
2021,12,1,2,18,18202,1,5136
2021,12,1,2,18,18202,2,1394
2021,12,1,2,18,18202,3,4177
2021,12,2,0,18,18202,0,53492
2021,12,2,0,18,18202,1,8031
2021,12,2,0,18,18202,2,1438
2021,12,2,0,18,18202,3,5565
2021,12,2,1,18,18202,0,59460
2021,12,2,1,18,18202,1,2552
2021,12,2,1,18,18202,2,1087
2021,12,2,1,18,18202,3,3319
2021,12,2,2,18,18202,0,56757
2021,12,2,2,18,18202,1,5002
2021,12,2,2,18,18202,2,1268
2021,12,2,2,18,18202,3,4190
2021,12,0,0,18,18204,0,24091
2021,12,0,0,18,18204,1,3114
2021,12,0,0,18,18204,2,150
2021,12,0,0,18,18204,3,1999
2021,12,0,1,18,18204,0,26348
2021,12,0,1,18,18204,1,1503
2021,12,0,1,18,18204,2,89
2021,12,0,1,18,18204,3,1259
2021,12,0,2,18,18204,0,25529
2021,12,0,2,18,18204,1,2330
2021,12,0,2,18,18204,2,116
2021,12,0,2,18,18204,3,1455
2021,12,1,0,18,18204,0,23304
2021,12,1,0,18,18204,1,4168
2021,12,1,0,18,18204,2,256
2021,12,1,0,18,18204,3,1583
2021,12,1,1,18,18204,0,26839
2021,12,1,1,18,18204,1,1593
2021,12,1,1,18,18204,2,73
2021,12,1,1,18,18204,3,1114
2021,12,1,2,18,18204,0,25320
2021,12,1,2,18,18204,1,2803
2021,12,1,2,18,18204,2,154
2021,12,1,2,18,18204,3,1359
2021,12,2,0,18,18204,0,23507
2021,12,2,0,18,18204,1,3896
2021,12,2,0,18,18204,2,229
2021,12,2,0,18,18204,3,1690
2021,12,2,1,18,18204,0,26712
2021,12,2,1,18,18204,1,1570
2021,12,2,1,18,18204,2,77
2021,12,2,1,18,18204,3,1151
2021,12,2,2,18,18204,0,25374
2021,12,2,2,18,18204,1,2681
2021,12,2,2,18,18204,2,144
2021,12,2,2,18,18204,3,1384
2021,12,0,0,18,18205,0,26819
2021,12,0,0,18,18205,1,3309
2021,12,0,0,18,18205,2,269
2021,12,0,0,18,18205,3,809
2021,12,0,1,18,18205,0,29862
2021,12,0,1,18,18205,1,1300
2021,12,0,1,18,18205,2,170
2021,12,0,1,18,18205,3,297
2021,12,0,2,18,18205,0,28531
2021,12,0,2,18,18205,1,1996
2021,12,0,2,18,18205,2,190
2021,12,0,2,18,18205,3,530
2021,12,1,0,18,18205,0,23195
2021,12,1,0,18,18205,1,4623
2021,12,1,0,18,18205,2,194
2021,12,1,0,18,18205,3,1112
2021,12,1,1,18,18205,0,29744
2021,12,1,1,18,18205,1,1330
2021,12,1,1,18,18205,2,164
2021,12,1,1,18,18205,3,605
2021,12,1,2,18,18205,0,26776
2021,12,1,2,18,18205,1,2587
