year,month,dayflag,timezone,prefcode,citycode,from_area,population
2021,11,0,0,18,18201,0,213404
2021,11,0,0,18,18201,1,49881
2021,11,0,0,18,18201,2,5922
2021,11,0,0,18,18201,3,10363
2021,11,0,1,18,18201,0,239033
2021,11,0,1,18,18201,1,18316
2021,11,0,1,18,18201,2,2857
2021,11,0,1,18,18201,3,9075
2021,11,0,2,18,18201,0,228990
2021,11,0,2,18,18201,1,31269
2021,11,0,2,18,18201,2,4029
2021,11,0,2,18,18201,3,9355
2021,11,1,0,18,18201,0,209767
2021,11,1,0,18,18201,1,77198
2021,11,1,0,18,18201,2,6110
2021,11,1,0,18,18201,3,7420
2021,11,1,1,18,18201,0,244232
2021,11,1,1,18,18201,1,20708
2021,11,1,1,18,18201,2,2367
2021,11,1,1,18,18201,3,7136
2021,11,1,2,18,18201,0,228888
2021,11,1,2,18,18201,1,47311
2021,11,1,2,18,18201,2,4008
2021,11,1,2,18,18201,3,7138
2021,11,2,0,18,18201,0,210979
2021,11,2,0,18,18201,1,68092
2021,11,2,0,18,18201,2,6047
2021,11,2,0,18,18201,3,8401
2021,11,2,1,18,18201,0,242499
2021,11,2,1,18,18201,1,19911
2021,11,2,1,18,18201,2,2530
2021,11,2,1,18,18201,3,7782
2021,11,2,2,18,18201,0,228922
2021,11,2,2,18,18201,1,41964
2021,11,2,2,18,18201,2,4015
2021,11,2,2,18,18201,3,7877
2021,11,0,0,18,18202,0,51438
2021,11,0,0,18,18202,1,8141
2021,11,0,0,18,18202,2,1411
2021,11,0,0,18,18202,3,8190
2021,11,0,1,18,18202,0,58081
2021,11,0,1,18,18202,1,2828
2021,11,0,1,18,18202,2,1025
2021,11,0,1,18,18202,3,4094
2021,11,0,2,18,18202,0,55530
2021,11,0,2,18,18202,1,4777
2021,11,0,2,18,18202,2,1203
2021,11,0,2,18,18202,3,5473
2021,11,1,0,18,18202,0,54221
2021,11,1,0,18,18202,1,9489
2021,11,1,0,18,18202,2,1364
2021,11,1,0,18,18202,3,4906
2021,11,1,1,18,18202,0,60476
2021,11,1,1,18,18202,1,2569
2021,11,1,1,18,18202,2,736
2021,11,1,1,18,18202,3,3198
2021,11,1,2,18,18202,0,57738
2021,11,1,2,18,18202,1,5619
2021,11,1,2,18,18202,2,1036
