year,month,dayflag,timezone,prefcode,citycode,from_area,population
2021,04,0,0,18,18201,0,226197
2021,04,0,0,18,18201,1,45881
2021,04,0,0,18,18201,2,4289
2021,04,0,0,18,18201,3,7574
2021,04,0,1,18,18201,0,245939
2021,04,0,1,18,18201,1,16716
2021,04,0,1,18,18201,2,2487
2021,04,0,1,18,18201,3,7171
2021,04,0,2,18,18201,0,237904
2021,04,0,2,18,18201,1,28376
2021,04,0,2,18,18201,2,3246
2021,04,0,2,18,18201,3,7258
2021,04,1,0,18,18201,0,211115
2021,04,1,0,18,18201,1,75653
2021,04,1,0,18,18201,2,5761
2021,04,1,0,18,18201,3,7432
2021,04,1,1,18,18201,0,247207
2021,04,1,1,18,18201,1,19756
2021,04,1,1,18,18201,2,2709
2021,04,1,1,18,18201,3,6873
2021,04,1,2,18,18201,0,231154
2021,04,1,2,18,18201,1,46299
2021,04,1,2,18,18201,2,4040
2021,04,1,2,18,18201,3,7109
2021,04,2,0,18,18201,0,215640
2021,04,2,0,18,18201,1,66722
2021,04,2,0,18,18201,2,5319
2021,04,2,0,18,18201,3,7474
2021,04,2,1,18,18201,0,246827
2021,04,2,1,18,18201,1,18844
2021,04,2,1,18,18201,2,2643
2021,04,2,1,18,18201,3,6962
2021,04,2,2,18,18201,0,233179
2021,04,2,2,18,18201,1,40922
2021,04,2,2,18,18201,2,3801
2021,04,2,2,18,18201,3,7154
2021,04,0,0,18,18202,0,53687
2021,04,0,0,18,18202,1,6618
2021,04,0,0,18,18202,2,1063
2021,04,0,0,18,18202,3,5839
2021,04,0,1,18,18202,0,58471
2021,04,0,1,18,18202,1,2683
2021,04,0,1,18,18202,2,751
2021,04,0,1,18,18202,3,3525
2021,04,0,2,18,18202,0,56712
2021,04,0,2,18,18202,1,4351
2021,04,0,2,18,18202,2,932
2021,04,0,2,18,18202,3,4456
2021,04,1,0,18,18202,0,55269
2021,04,1,0,18,18202,1,9116
2021,04,1,0,18,18202,2,1477
2021,04,1,0,18,18202,3,4555
2021,04,1,1,18,18202,0,60271
2021,04,1,1,18,18202,1,2841
2021,04,1,1,18,18202,2,1035
2021,04,1,1,18,18202,3,3181
2021,04,1,2,18,18202,0,57970
2021,04,1,2,18,18202,1,5599
2021,04,1,2,18,18202,2,1205
2021,04,1,2,18,18202,3,3819
2021,04,2,0,18,18202,0,54795
2021,04,2,0,18,18202,1,8366
2021,04,2,0,18,18202,2,1353
2021,04,2,0,18,18202,3,4941
2021,04,2,1,18,18202,0,59731
2021,04,2,1,18,18202,1,2793
2021,04,2,1,18,18202,2,950
2021,04,2,1,18,18202,3,3284
2021,04,2,2,18,18202,0,57592
2021,04,2,2,18,18202,1,5225
2021,04,2,2,18,18202,2,1123
2021,04,2,2,18,18202,3,4010
2021,04,0,0,18,18204,0,24039
2021,04,0,0,18,18204,1,2672
2021,04,0,0,18,18204,2,411
2021,04,0,0,18,18204,3,2357
2021,04,0,1,18,18204,0,26012
2021,04,0,1,18,18204,1,1308
2021,04,0,1,18,18204,2,326
2021,04,0,1,18,18204,3,1258
2021,04,0,2,18,18204,0,25410
2021,04,0,2,18,18204,1,1832
2021,04,0,2,18,18204,2,320
2021,04,0,2,18,18204,3,1575
2021,04,1,0,18,18204,0,22650
2021,04,1,0,18,18204,1,4351
2021,04,1,0,18,18204,2,322
2021,04,1,0,18,18204,3,1753
2021,04,1,1,18,18204,0,26309
2021,04,1,1,18,18204,1,1248
2021,04,1,1,18,18204,2,173
2021,04,1,1,18,18204,3,1259
2021,04,1,2,18,18204,0,24755
2021,04,1,2,18,18204,1,2573
2021,04,1,2,18,18204,2,232
2021,04,1,2,18,18204,3,1413
2021,04,2,0,18,18204,0,23067
2021,04,2,0,18,18204,1,3847
2021,04,2,0,18,18204,2,349
2021,04,2,0,18,18204,3,1934
2021,04,2,1,18,18204,0,26220
2021,04,2,1,18,18204,1,1266
2021,04,2,1,18,18204,2,219
2021,04,2,1,18,18204,3,1259
2021,04,2,2,18,18204,0,24952
2021,04,2,2,18,18204,1,2350
2021,04,2,2,18,18204,2,258
2021,04,2,2,18,18204,3,1461
2021,04,0,0,18,18205,0,26371
2021,04,0,0,18,18205,1,4261
2021,04,0,0,18,18205,2,275
2021,04,0,0,18,18205,3,1047
2021,04,0,1,18,18205,0,30142
2021,04,0,1,18,18205,1,1289
2021,04,0,1,18,18205,2,95
2021,04,0,1,18,18205,3,480
2021,04,0,2,18,18205,0,28718
2021,04,0,2,18,18205,1,2402
2021,04,0,2,18,18205,2,177
2021,04,0,2,18,18205,3,650
2021,04,1,0,18,18205,0,23126
2021,04,1,0,18,18205,1,5808
2021,04,1,0,18,18205,2,344
2021,04,1,0,18,18205,3,922
2021,04,1,1,18,18205,0,30633
2021,04,1,1,18,18205,1,1669
2021,04,1,1,18,18205,2,53
2021,04,1,1,18,18205,3,467
2021,04,1,2,18,18205,0,27187
2021,04,1,2,18,18205,1,3241
2021,04,1,2,18,18205,2,156
2021,04,1,2,18,18205,3,642
2021,04,2,0,18,18205,0,24100
