year,month,dayflag,timezone,prefcode,citycode,from_area,population
2021,08,0,0,18,18201,0,224402
2021,08,0,0,18,18201,1,43280
2021,08,0,0,18,18201,2,4228
2021,08,0,0,18,18201,3,10859
2021,08,0,1,18,18201,0,243222
2021,08,0,1,18,18201,1,16444
2021,08,0,1,18,18201,2,2367
2021,08,0,1,18,18201,3,9969
2021,08,0,2,18,18201,0,235888
2021,08,0,2,18,18201,1,27258
2021,08,0,2,18,18201,2,3125
2021,08,0,2,18,18201,3,10260
2021,08,1,0,18,18201,0,213231
2021,08,1,0,18,18201,1,73067
2021,08,1,0,18,18201,2,5565
2021,08,1,0,18,18201,3,8796
2021,08,1,1,18,18201,0,245879
2021,08,1,1,18,18201,1,20404
2021,08,1,1,18,18201,2,2684
2021,08,1,1,18,18201,3,8550
2021,08,1,2,18,18201,0,231274
2021,08,1,2,18,18201,1,44665
2021,08,1,2,18,18201,2,3915
2021,08,1,2,18,18201,3,8629
2021,08,2,0,18,18201,0,216835
2021,08,2,0,18,18201,1,63459
2021,08,2,0,18,18201,2,5133
2021,08,2,0,18,18201,3,9462
2021,08,2,1,18,18201,0,245022
2021,08,2,1,18,18201,1,19126
2021,08,2,1,18,18201,2,2582
2021,08,2,1,18,18201,3,9008
2021,08,2,2,18,18201,0,232763
2021,08,2,2,18,18201,1,39050
2021,08,2,2,18,18201,2,3660
2021,08,2,2,18,18201,3,9155
2021,08,0,0,18,18202,0,53691
2021,08,0,0,18,18202,1,5818
2021,08,0,0,18,18202,2,1161
2021,08,0,0,18,18202,3,7841
2021,08,0,1,18,18202,0,58583
2021,08,0,1,18,18202,1,2105
2021,08,0,1,18,18202,2,784
2021,08,0,1,18,18202,3,4924
2021,08,0,2,18,18202,0,56699
2021,08,0,2,18,18202,1,3663
2021,08,0,2,18,18202,2,919
2021,08,0,2,18,18202,3,6138
2021,08,1,0,18,18202,0,55751
2021,08,1,0,18,18202,1,7857
2021,08,1,0,18,18202,2,1072
2021,08,1,0,18,18202,3,6704
2021,08,1,1,18,18202,0,60790
2021,08,1,1,18,18202,1,2095
2021,08,1,1,18,18202,2,664
2021,08,1,1,18,18202,3,4638
2021,08,1,2,18,18202,0,58537
2021,08,1,2,18,18202,1,4626
2021,08,1,2,18,18202,2,885
2021,08,1,2,18,18202,3,5585
2021,08,2,0,18,18202,0,55086
2021,08,2,0,18,18202,1,7199
2021,08,2,0,18,18202,2,1101
2021,08,2,0,18,18202,3,7071
2021,08,2,1,18,18202,0,60078
2021,08,2,1,18,18202,1,2098
2021,08,2,1,18,18202,2,703
2021,08,2,1,18,18202,3,4730
2021,08,2,2,18,18202,0,57944
2021,08,2,2,18,18202,1,4316
