mesh1kmid,lon_center,lat_center,lon_max,lat_max,lon_min,lat_min,prefcode,citycode
53357789,135.993744,35.9874992,136,35.9916649,135.987503,35.9833336,18,18201
53357797,135.96875,35.9958344,135.975006,36,135.962494,35.9916649,18,18201
53357798,135.981247,35.9958344,135.987503,36,135.975006,35.9916649,18,18201
53357799,135.993744,35.9958344,136,36,135.987503,35.9916649,18,18201
53367080,136.006256,35.9874992,136.012497,35.9916649,136,35.9833336,18,18201
53367176,136.206253,35.9791679,136.212494,35.9833336,136.199997,35.9749985,18,18201
53367186,136.206253,35.9874992,136.212494,35.9916649,136.199997,35.9833336,18,18201
53367187,136.21875,35.9874992,136.225006,35.9916649,136.212494,35.9833336,18,18201
53367189,136.243744,35.9874992,136.25,35.9916649,136.237503,35.9833336,18,18201
53367191,136.143753,35.9958344,136.149994,36,136.137497,35.9916649,18,18201
53367192,136.15625,35.9958344,136.162506,36,136.149994,35.9916649,18,18201
53367194,136.181244,35.9958344,136.1875,36,136.175003,35.9916649,18,18201
53367195,136.193756,35.9958344,136.199997,36,136.1875,35.9916649,18,18201
53367196,136.206253,35.9958344,136.212494,36,136.199997,35.9916649,18,18201
53367197,136.21875,35.9958344,136.225006,36,136.212494,35.9916649,18,18201
53367198,136.231247,35.9958344,136.237503,36,136.225006,35.9916649,18,18201
53367199,136.243744,35.9958344,136.25,36,136.237503,35.9916649,18,18201
53367227,136.34375,35.9375,136.350006,35.9416656,136.337494,35.9333344,18,18201
53367237,136.34375,35.9458351,136.350006,35.9500008,136.337494,35.9416656,18,18201
53367238,136.356247,35.9458351,136.362503,35.9500008,136.350006,35.9416656,18,18201
53367246,136.331253,35.9541664,136.337494,35.9583321,136.324997,35.9500008,18,18201
53367247,136.34375,35.9541664,136.350006,35.9583321,136.337494,35.9500008,18,18201
53367248,136.356247,35.9541664,136.362503,35.9583321,136.350006,35.9500008,18,18201
53367249,136.368744,35.9541664,136.375,35.9583321,136.362503,35.9500008,18,18201
53367255,136.318756,35.9625015,136.324997,35.9666672,136.3125,35.9583321,18,18201
53367256,136.331253,35.9625015,136.337494,35.9666672,136.324997,35.9583321,18,18201
53367257,136.34375,35.9625015,136.350006,35.9666672,136.337494,35.9583321,18,18201
53367258,136.356247,35.9625015,136.362503,35.9666672,136.350006,35.9583321,18,18201
53367259,136.368744,35.9625015,136.375,35.9666672,136.362503,35.9583321,18,18201
53367264,136.306244,35.9708328,136.3125,35.9749985,136.300003,35.9666672,18,18201
53367265,136.318756,35.9708328,136.324997,35.9749985,136.3125,35.9666672,18,18201
53367266,136.331253,35.9708328,136.337494,35.9749985,136.324997,35.9666672,18,18201
53367267,136.34375,35.9708328,136.350006,35.9749985,136.337494,35.9666672,18,18201
