mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53357797,18,18201,2021,01,0,0,30
53357797,18,18201,2021,01,0,2,17
53357797,18,18201,2021,01,1,0,35
53357797,18,18201,2021,01,1,1,17
53357797,18,18201,2021,01,1,2,31
53357797,18,18201,2021,01,2,0,33
53357797,18,18201,2021,01,2,1,12
53357797,18,18201,2021,01,2,2,26
53357798,18,18201,2021,01,0,0,12
53357798,18,18201,2021,01,0,1,18
53357798,18,18201,2021,01,0,2,11
53367176,18,18201,2021,01,0,0,211
53367176,18,18201,2021,01,0,1,204
53367176,18,18201,2021,01,0,2,199
53367176,18,18201,2021,01,1,0,89
53367176,18,18201,2021,01,1,1,196
53367176,18,18201,2021,01,1,2,134
53367176,18,18201,2021,01,2,0,136
53367176,18,18201,2021,01,2,1,199
53367176,18,18201,2021,01,2,2,160
53367186,18,18201,2021,01,0,0,189
53367186,18,18201,2021,01,0,1,61
53367186,18,18201,2021,01,0,2,135
53367186,18,18201,2021,01,1,0,139
53367186,18,18201,2021,01,1,1,103
53367186,18,18201,2021,01,1,2,144
53367186,18,18201,2021,01,2,0,159
53367186,18,18201,2021,01,2,1,87
53367186,18,18201,2021,01,2,2,141
53367189,18,18201,2021,01,0,0,151
53367189,18,18201,2021,01,0,1,213
53367189,18,18201,2021,01,0,2,182
53367189,18,18201,2021,01,1,0,144
53367189,18,18201,2021,01,1,1,194
53367189,18,18201,2021,01,1,2,158
53367189,18,18201,2021,01,2,0,146
53367189,18,18201,2021,01,2,1,202
53367189,18,18201,2021,01,2,2,167
53367191,18,18201,2021,01,0,0,310
53367191,18,18201,2021,01,0,1,449
53367191,18,18201,2021,01,0,2,377
53367191,18,18201,2021,01,1,0,281
53367191,18,18201,2021,01,1,1,493
53367191,18,18201,2021,01,1,2,378
53367191,18,18201,2021,01,2,0,293
53367191,18,18201,2021,01,2,1,476
53367191,18,18201,2021,01,2,2,377
53367192,18,18201,2021,01,0,0,98
53367192,18,18201,2021,01,0,1,128
53367192,18,18201,2021,01,0,2,93
53367192,18,18201,2021,01,1,0,63
53367192,18,18201,2021,01,1,1,47
53367192,18,18201,2021,01,1,2,70
53367192,18,18201,2021,01,2,0,77
53367192,18,18201,2021,01,2,1,79
53367192,18,18201,2021,01,2,2,79
53367194,18,18201,2021,01,0,0,93
53367194,18,18201,2021,01,0,1,84
53367194,18,18201,2021,01,0,2,87
53367194,18,18201,2021,01,1,0,43
53367194,18,18201,2021,01,1,1,58
53367194,18,18201,2021,01,1,2,49
53367194,18,18201,2021,01,2,0,62
53367194,18,18201,2021,01,2,1,68
53367194,18,18201,2021,01,2,2,63
53367195,18,18201,2021,01,0,0,935
53367195,18,18201,2021,01,0,1,1030
53367195,18,18201,2021,01,0,2,968
53367195,18,18201,2021,01,1,0,1395
53367195,18,18201,2021,01,1,1,1247
53367195,18,18201,2021,01,1,2,1304
53367195,18,18201,2021,01,2,0,1217
53367195,18,18201,2021,01,2,1,1163
53367195,18,18201,2021,01,2,2,1174
53367196,18,18201,2021,01,0,0,517
53367196,18,18201,2021,01,0,1,328
53367196,18,18201,2021,01,0,2,414
53367196,18,18201,2021,01,1,0,620
53367196,18,18201,2021,01,1,1,311
53367196,18,18201,2021,01,1,2,500
53367196,18,18201,2021,01,2,0,581
53367196,18,18201,2021,01,2,1,318
53367196,18,18201,2021,01,2,2,466
53367197,18,18201,2021,01,0,0,127
53367197,18,18201,2021,01,0,1,209
53367197,18,18201,2021,01,0,2,193
53367197,18,18201,2021,01,1,0,54
53367197,18,18201,2021,01,1,1,215
53367197,18,18201,2021,01,1,2,151
53367197,18,18201,2021,01,2,0,82
53367197,18,18201,2021,01,2,1,213
53367197,18,18201,2021,01,2,2,168
53367198,18,18201,2021,01,0,0,34
