mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53357797,18,18201,2021,10,0,0,121
53357797,18,18201,2021,10,0,2,41
53357797,18,18201,2021,10,1,0,41
53357797,18,18201,2021,10,1,1,50
53357797,18,18201,2021,10,1,2,55
53357797,18,18201,2021,10,2,0,67
53357797,18,18201,2021,10,2,1,35
53357797,18,18201,2021,10,2,2,50
53367176,18,18201,2021,10,0,0,281
53367176,18,18201,2021,10,0,1,273
53367176,18,18201,2021,10,0,2,248
53367176,18,18201,2021,10,1,0,176
53367176,18,18201,2021,10,1,1,333
53367176,18,18201,2021,10,1,2,256
53367176,18,18201,2021,10,2,0,210
53367176,18,18201,2021,10,2,1,314
53367176,18,18201,2021,10,2,2,254
53367186,18,18201,2021,10,0,0,567
53367186,18,18201,2021,10,0,1,362
53367186,18,18201,2021,10,0,2,482
53367186,18,18201,2021,10,1,0,199
53367186,18,18201,2021,10,1,1,360
53367186,18,18201,2021,10,1,2,298
53367186,18,18201,2021,10,2,0,318
53367186,18,18201,2021,10,2,1,361
53367186,18,18201,2021,10,2,2,357
53367187,18,18201,2021,10,0,0,14
53367187,18,18201,2021,10,2,0,11
53367189,18,18201,2021,10,0,0,147
53367189,18,18201,2021,10,0,1,181
53367189,18,18201,2021,10,0,2,164
53367189,18,18201,2021,10,1,0,145
53367189,18,18201,2021,10,1,1,157
53367189,18,18201,2021,10,1,2,141
53367189,18,18201,2021,10,2,0,146
53367189,18,18201,2021,10,2,1,165
53367189,18,18201,2021,10,2,2,149
53367191,18,18201,2021,10,0,0,292
53367191,18,18201,2021,10,0,1,545
53367191,18,18201,2021,10,0,2,440
53367191,18,18201,2021,10,1,0,442
53367191,18,18201,2021,10,1,1,466
53367191,18,18201,2021,10,1,2,450
53367191,18,18201,2021,10,2,0,394
53367191,18,18201,2021,10,2,1,492
53367191,18,18201,2021,10,2,2,447
53367192,18,18201,2021,10,0,0,161
53367192,18,18201,2021,10,0,1,15
53367192,18,18201,2021,10,0,2,107
53367192,18,18201,2021,10,1,0,157
53367192,18,18201,2021,10,1,1,65
53367192,18,18201,2021,10,1,2,114
53367192,18,18201,2021,10,2,0,158
53367192,18,18201,2021,10,2,1,49
53367192,18,18201,2021,10,2,2,112
53367194,18,18201,2021,10,0,0,164
53367194,18,18201,2021,10,0,1,52
53367194,18,18201,2021,10,0,2,97
53367194,18,18201,2021,10,1,1,11
53367194,18,18201,2021,10,2,0,55
