year,month,dayflag,timezone,prefcode,citycode,from_area,population
2021,02,0,0,18,18201,0,223869
2021,02,0,0,18,18201,1,51601
2021,02,0,0,18,18201,2,4559
2021,02,0,0,18,18201,3,5598
2021,02,0,1,18,18201,0,245262
2021,02,0,1,18,18201,1,17252
2021,02,0,1,18,18201,2,2362
2021,02,0,1,18,18201,3,5124
2021,02,0,2,18,18201,0,237173
2021,02,0,2,18,18201,1,30407
2021,02,0,2,18,18201,2,3258
2021,02,0,2,18,18201,3,5252
2021,02,1,0,18,18201,0,213562
2021,02,1,0,18,18201,1,76644
2021,02,1,0,18,18201,2,6325
2021,02,1,0,18,18201,3,5369
2021,02,1,1,18,18201,0,249326
2021,02,1,1,18,18201,1,17469
2021,02,1,1,18,18201,2,2072
2021,02,1,1,18,18201,3,4960
2021,02,1,2,18,18201,0,233392
2021,02,1,2,18,18201,1,45525
2021,02,1,2,18,18201,2,3932
2021,02,1,2,18,18201,3,5140
2021,02,2,0,18,18201,0,217243
2021,02,2,0,18,18201,1,67700
2021,02,2,0,18,18201,2,5694
2021,02,2,0,18,18201,3,5451
2021,02,2,1,18,18201,0,247874
2021,02,2,1,18,18201,1,17392
2021,02,2,1,18,18201,2,2176
2021,02,2,1,18,18201,3,5019
2021,02,2,2,18,18201,0,234743
2021,02,2,2,18,18201,1,40125
2021,02,2,2,18,18201,2,3692
2021,02,2,2,18,18201,3,5180
2021,02,0,0,18,18202,0,53987
2021,02,0,0,18,18202,1,7780
2021,02,0,0,18,18202,2,805
2021,02,0,0,18,18202,3,5776
2021,02,0,1,18,18202,0,60007
2021,02,0,1,18,18202,1,3474
2021,02,0,1,18,18202,2,530
2021,02,0,1,18,18202,3,2933
2021,02,0,2,18,18202,0,57697
2021,02,0,2,18,18202,1,5209
2021,02,0,2,18,18202,2,690
2021,02,0,2,18,18202,3,3959
2021,02,1,0,18,18202,0,56573
2021,02,1,0,18,18202,1,9079
2021,02,1,0,18,18202,2,982
2021,02,1,0,18,18202,3,3948
