mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53357797,18,18201,2021,04,0,0,79
53357797,18,18201,2021,04,0,1,70
53357797,18,18201,2021,04,0,2,68
53357797,18,18201,2021,04,1,0,41
53357797,18,18201,2021,04,1,1,48
53357797,18,18201,2021,04,1,2,62
53357797,18,18201,2021,04,2,0,52
53357797,18,18201,2021,04,2,1,54
53357797,18,18201,2021,04,2,2,63
53367176,18,18201,2021,04,0,0,327
53367176,18,18201,2021,04,0,1,278
53367176,18,18201,2021,04,0,2,276
53367176,18,18201,2021,04,1,0,255
53367176,18,18201,2021,04,1,1,234
53367176,18,18201,2021,04,1,2,262
53367176,18,18201,2021,04,2,0,276
53367176,18,18201,2021,04,2,1,247
53367176,18,18201,2021,04,2,2,267
53367186,18,18201,2021,04,0,0,262
53367186,18,18201,2021,04,0,1,185
53367186,18,18201,2021,04,0,2,237
53367186,18,18201,2021,04,1,0,163
53367186,18,18201,2021,04,1,1,166
53367186,18,18201,2021,04,1,2,202
53367186,18,18201,2021,04,2,0,193
53367186,18,18201,2021,04,2,1,172
53367186,18,18201,2021,04,2,2,212
53367187,18,18201,2021,04,0,0,22
53367187,18,18201,2021,04,1,0,22
53367187,18,18201,2021,04,1,2,10
53367187,18,18201,2021,04,2,0,22
53367189,18,18201,2021,04,0,0,132
53367189,18,18201,2021,04,0,1,250
53367189,18,18201,2021,04,0,2,179
53367189,18,18201,2021,04,1,0,130
53367189,18,18201,2021,04,1,1,206
53367189,18,18201,2021,04,1,2,154
53367189,18,18201,2021,04,2,0,131
53367189,18,18201,2021,04,2,1,219
53367189,18,18201,2021,04,2,2,162
53367191,18,18201,2021,04,0,0,376
53367191,18,18201,2021,04,0,1,444
53367191,18,18201,2021,04,0,2,426
53367191,18,18201,2021,04,1,0,301
53367191,18,18201,2021,04,1,1,476
53367191,18,18201,2021,04,1,2,383
53367191,18,18201,2021,04,2,0,324
53367191,18,18201,2021,04,2,1,466
53367191,18,18201,2021,04,2,2,396
53367192,18,18201,2021,04,0,0,145
53367192,18,18201,2021,04,0,1,57
53367192,18,18201,2021,04,0,2,75
53367192,18,18201,2021,04,1,0,117
53367192,18,18201,2021,04,1,1,74
53367192,18,18201,2021,04,1,2,90
53367192,18,18201,2021,04,2,0,125
53367192,18,18201,2021,04,2,1,69
53367192,18,18201,2021,04,2,2,86
53367194,18,18201,2021,04,0,0,48
53367194,18,18201,2021,04,0,2,25
53367194,18,18201,2021,04,1,0,18
53367194,18,18201,2021,04,2,0,27
53367194,18,18201,2021,04,2,2,12
53367195,18,18201,2021,04,0,0,1189
53367195,18,18201,2021,04,0,1,1279
53367195,18,18201,2021,04,0,2,1266
53367195,18,18201,2021,04,1,0,1609
53367195,18,18201,2021,04,1,1,1287
53367195,18,18201,2021,04,1,2,1369
53367195,18,18201,2021,04,2,0,1483
53367195,18,18201,2021,04,2,1,1284
53367195,18,18201,2021,04,2,2,1338
53367196,18,18201,2021,04,0,0,716
53367196,18,18201,2021,04,0,1,570
53367196,18,18201,2021,04,0,2,666
53367196,18,18201,2021,04,1,0,744
53367196,18,18201,2021,04,1,1,639
53367196,18,18201,2021,04,1,2,741
53367196,18,18201,2021,04,2,0,735
53367196,18,18201,2021,04,2,1,619
53367196,18,18201,2021,04,2,2,718
53367197,18,18201,2021,04,0,0,72
53367197,18,18201,2021,04,0,1,15
53367197,18,18201,2021,04,0,2,39
53367197,18,18201,2021,04,1,0,63
53367197,18,18201,2021,04,1,1,25
53367197,18,18201,2021,04,1,2,38
53367197,18,18201,2021,04,2,0,65
53367197,18,18201,2021,04,2,1,22
53367197,18,18201,2021,04,2,2,38
53367198,18,18201,2021,04,0,0,32
53367198,18,18201,2021,04,0,2,12
53367198,18,18201,2021,04,1,0,10
53367198,18,18201,2021,04,1,1,20
53367198,18,18201,2021,04,1,2,14
53367198,18,18201,2021,04,2,0,16
53367198,18,18201,2021,04,2,1,14
53367198,18,18201,2021,04,2,2,13
53367199,18,18201,2021,04,0,0,33
53367199,18,18201,2021,04,0,1,25
53367199,18,18201,2021,04,0,2,37
53367199,18,18201,2021,04,1,0,16
53367199,18,18201,2021,04,2,0,21
53367199,18,18201,2021,04,2,2,16
53367238,18,18201,2021,04,0,0,33
53367238,18,18201,2021,04,0,1,288
53367238,18,18201,2021,04,0,2,187
53367238,18,18201,2021,04,1,0,27
53367238,18,18201,2021,04,1,1,330
53367238,18,18201,2021,04,1,2,178
53367238,18,18201,2021,04,2,0,29
53367238,18,18201,2021,04,2,1,318
53367238,18,18201,2021,04,2,2,180
53367249,18,18201,2021,04,0,0,12
53367272,18,18201,2021,04,0,1,30
53367272,18,18201,2021,04,0,2,20
53367272,18,18201,2021,04,2,1,13
53367279,18,18201,2021,04,1,0,13
53367279,18,18201,2021,04,2,0,10
53367280,18,18201,2021,04,0,0,319
53367280,18,18201,2021,04,0,1,353
53367280,18,18201,2021,04,0,2,315
53367280,18,18201,2021,04,1,0,43
53367280,18,18201,2021,04,1,1,252
53367280,18,18201,2021,04,1,2,178
53367280,18,18201,2021,04,2,0,126
53367280,18,18201,2021,04,2,1,282
53367280,18,18201,2021,04,2,2,219
53367281,18,18201,2021,04,0,0,108
53367281,18,18201,2021,04,0,1,122
53367281,18,18201,2021,04,0,2,126
53367281,18,18201,2021,04,1,0,39
53367281,18,18201,2021,04,1,1,71
53367281,18,18201,2021,04,1,2,53
53367281,18,18201,2021,04,2,0,59
53367281,18,18201,2021,04,2,1,87
53367281,18,18201,2021,04,2,2,75
53367282,18,18201,2021,04,0,0,103
53367282,18,18201,2021,04,0,1,171
53367282,18,18201,2021,04,0,2,145
53367282,18,18201,2021,04,1,0,38
53367282,18,18201,2021,04,1,1,175
53367282,18,18201,2021,04,1,2,133
53367282,18,18201,2021,04,2,0,57
53367282,18,18201,2021,04,2,1,174
53367282,18,18201,2021,04,2,2,137
53367283,18,18201,2021,04,0,0,55
53367283,18,18201,2021,04,0,1,67
53367283,18,18201,2021,04,0,2,39
53367283,18,18201,2021,04,1,0,80
53367283,18,18201,2021,04,1,1,49
53367283,18,18201,2021,04,1,2,39
53367283,18,18201,2021,04,2,0,73
53367283,18,18201,2021,04,2,1,54
53367283,18,18201,2021,04,2,2,39
53367288,18,18201,2021,04,0,0,229
53367288,18,18201,2021,04,0,1,367
53367288,18,18201,2021,04,0,2,304
53367288,18,18201,2021,04,1,0,212
53367288,18,18201,2021,04,1,1,352
53367288,18,18201,2021,04,1,2,275
53367288,18,18201,2021,04,2,0,217
53367288,18,18201,2021,04,2,1,356
53367288,18,18201,2021,04,2,2,284
53367289,18,18201,2021,04,1,0,35
53367289,18,18201,2021,04,1,1,12
53367289,18,18201,2021,04,1,2,18
53367289,18,18201,2021,04,2,0,27
53367289,18,18201,2021,04,2,2,14
53367290,18,18201,2021,04,0,0,45
53367290,18,18201,2021,04,0,2,32
53367290,18,18201,2021,04,1,0,36
53367290,18,18201,2021,04,1,1,11
53367290,18,18201,2021,04,1,2,30
53367290,18,18201,2021,04,2,0,39
53367290,18,18201,2021,04,2,2,30
53367291,18,18201,2021,04,0,1,25
53367291,18,18201,2021,04,0,2,14
53367293,18,18201,2021,04,0,0,98
53367293,18,18201,2021,04,0,2,42
53367293,18,18201,2021,04,1,0,50
53367293,18,18201,2021,04,1,1,13
53367293,18,18201,2021,04,1,2,31
53367293,18,18201,2021,04,2,0,65
53367293,18,18201,2021,04,2,2,34
53367298,18,18201,2021,04,0,0,29
53367298,18,18201,2021,04,0,1,51
53367298,18,18201,2021,04,0,2,36
53367298,18,18201,2021,04,1,0,105
53367298,18,18201,2021,04,1,1,22
53367298,18,18201,2021,04,1,2,60
53367298,18,18201,2021,04,2,0,82
53367298,18,18201,2021,04,2,1,31
53367298,18,18201,2021,04,2,2,53
53367299,18,18201,2021,04,0,0,153
53367299,18,18201,2021,04,0,1,354
53367299,18,18201,2021,04,0,2,273
53367299,18,18201,2021,04,1,0,83
53367299,18,18201,2021,04,1,1,262
53367299,18,18201,2021,04,1,2,203
53367299,18,18201,2021,04,2,0,104
53367299,18,18201,2021,04,2,1,290
53367299,18,18201,2021,04,2,2,224
53367335,18,18201,2021,04,1,0,10
53367335,18,18201,2021,04,1,1,10
53367343,18,18201,2021,04,1,0,12
53367343,18,18201,2021,04,1,1,12
53367343,18,18201,2021,04,1,2,14
53367343,18,18201,2021,04,2,0,10
53367343,18,18201,2021,04,2,2,10
53367344,18,18201,2021,04,1,0,10
53367351,18,18201,2021,04,1,1,10
53367353,18,18201,2021,04,0,0,19
53367381,18,18201,2021,04,1,0,20
53367381,18,18201,2021,04,1,1,20
53367381,18,18201,2021,04,1,2,20
53367381,18,18201,2021,04,2,0,14
53367381,18,18201,2021,04,2,1,14
53367381,18,18201,2021,04,2,2,14
53367392,18,18201,2021,04,0,0,98
53367392,18,18201,2021,04,0,1,98
53367392,18,18201,2021,04,0,2,98
53367392,18,18201,2021,04,1,0,51
53367392,18,18201,2021,04,1,1,50
53367392,18,18201,2021,04,1,2,51
53367392,18,18201,2021,04,2,0,65
53367392,18,18201,2021,04,2,1,64
53367392,18,18201,2021,04,2,2,65
53367393,18,18201,2021,04,0,0,21
53367393,18,18201,2021,04,0,1,62
53367393,18,18201,2021,04,0,2,31
53367393,18,18201,2021,04,1,0,23
53367393,18,18201,2021,04,1,1,16
