mesh1kmid,prefcode,citycode,year,month,dayflag,timezone,population
53357797,18,18201,2021,07,0,0,157
53357797,18,18201,2021,07,0,1,137
53357797,18,18201,2021,07,0,2,130
53357797,18,18201,2021,07,1,0,19
53357797,18,18201,2021,07,1,1,32
53357797,18,18201,2021,07,1,2,19
53357797,18,18201,2021,07,2,0,68
53357797,18,18201,2021,07,2,1,69
53357797,18,18201,2021,07,2,2,58
53367176,18,18201,2021,07,0,0,241
53367176,18,18201,2021,07,0,1,258
53367176,18,18201,2021,07,0,2,245
53367176,18,18201,2021,07,1,0,184
53367176,18,18201,2021,07,1,1,281
53367176,18,18201,2021,07,1,2,250
53367176,18,18201,2021,07,2,0,204
53367176,18,18201,2021,07,2,1,273
53367176,18,18201,2021,07,2,2,248
53367186,18,18201,2021,07,0,0,394
53367186,18,18201,2021,07,0,1,192
53367186,18,18201,2021,07,0,2,302
53367186,18,18201,2021,07,1,0,167
53367186,18,18201,2021,07,1,1,121
53367186,18,18201,2021,07,1,2,165
53367186,18,18201,2021,07,2,0,247
53367186,18,18201,2021,07,2,1,146
53367186,18,18201,2021,07,2,2,213
53367189,18,18201,2021,07,0,0,182
53367189,18,18201,2021,07,0,1,234
53367189,18,18201,2021,07,0,2,193
53367189,18,18201,2021,07,1,0,134
53367189,18,18201,2021,07,1,1,206
53367189,18,18201,2021,07,1,2,162
53367189,18,18201,2021,07,2,0,151
53367189,18,18201,2021,07,2,1,216
53367189,18,18201,2021,07,2,2,173
53367191,18,18201,2021,07,0,0,391
53367191,18,18201,2021,07,0,1,423
53367191,18,18201,2021,07,0,2,391
53367191,18,18201,2021,07,1,0,345
53367191,18,18201,2021,07,1,1,489
53367191,18,18201,2021,07,1,2,396
53367191,18,18201,2021,07,2,0,361
53367191,18,18201,2021,07,2,1,465
53367191,18,18201,2021,07,2,2,394
53367192,18,18201,2021,07,0,0,199
53367192,18,18201,2021,07,0,1,132
53367192,18,18201,2021,07,0,2,171
53367192,18,18201,2021,07,1,0,100
53367192,18,18201,2021,07,1,1,55
53367192,18,18201,2021,07,1,2,78
53367192,18,18201,2021,07,2,0,135
53367192,18,18201,2021,07,2,1,82
53367192,18,18201,2021,07,2,2,111
53367194,18,18201,2021,07,0,0,35
53367194,18,18201,2021,07,0,1,49
53367194,18,18201,2021,07,0,2,36
53367194,18,18201,2021,07,1,0,35
53367194,18,18201,2021,07,1,1,22
53367194,18,18201,2021,07,1,2,25
53367194,18,18201,2021,07,2,0,35
53367194,18,18201,2021,07,2,1,32
53367194,18,18201,2021,07,2,2,29
53367195,18,18201,2021,07,0,0,939
53367195,18,18201,2021,07,0,1,1021
53367195,18,18201,2021,07,0,2,956
53367195,18,18201,2021,07,1,0,1604
53367195,18,18201,2021,07,1,1,1103
53367195,18,18201,2021,07,1,2,1263
53367195,18,18201,2021,07,2,0,1368
53367195,18,18201,2021,07,2,1,1074
53367195,18,18201,2021,07,2,2,1154
53367196,18,18201,2021,07,0,0,721
53367196,18,18201,2021,07,0,1,511
53367196,18,18201,2021,07,0,2,647
53367196,18,18201,2021,07,1,0,863
53367196,18,18201,2021,07,1,1,676
53367196,18,18201,2021,07,1,2,805
53367196,18,18201,2021,07,2,0,813
53367196,18,18201,2021,07,2,1,618
53367196,18,18201,2021,07,2,2,749
53367197,18,18201,2021,07,0,0,34
53367197,18,18201,2021,07,0,1,18
53367197,18,18201,2021,07,0,2,24
53367197,18,18201,2021,07,1,0,29
53367197,18,18201,2021,07,1,2,20
53367197,18,18201,2021,07,2,0,31
53367197,18,18201,2021,07,2,2,21
53367198,18,18201,2021,07,0,0,28
53367198,18,18201,2021,07,0,2,18
53367198,18,18201,2021,07,1,1,11
53367198,18,18201,2021,07,2,0,11
53367198,18,18201,2021,07,2,2,10
53367199,18,18201,2021,07,0,0,66
53367199,18,18201,2021,07,0,1,85
53367199,18,18201,2021,07,0,2,86
53367199,18,18201,2021,07,1,0,41
53367199,18,18201,2021,07,1,2,27
53367199,18,18201,2021,07,2,0,50
53367199,18,18201,2021,07,2,1,35
53367199,18,18201,2021,07,2,2,48
53367238,18,18201,2021,07,0,0,60
53367238,18,18201,2021,07,0,1,46
53367238,18,18201,2021,07,0,2,53
53367238,18,18201,2021,07,1,0,59
53367238,18,18201,2021,07,1,1,45
53367238,18,18201,2021,07,1,2,54
53367238,18,18201,2021,07,2,0,59
53367238,18,18201,2021,07,2,1,45
53367238,18,18201,2021,07,2,2,54
53367248,18,18201,2021,07,1,1,11
53367249,18,18201,2021,07,0,0,27
53367249,18,18201,2021,07,0,2,14
53367249,18,18201,2021,07,1,0,16
53367249,18,18201,2021,07,2,0,20
53367249,18,18201,2021,07,2,2,11
53367259,18,18201,2021,07,1,0,54
53367259,18,18201,2021,07,1,2,15
53367259,18,18201,2021,07,2,0,38
53367259,18,18201,2021,07,2,2,11
53367272,18,18201,2021,07,0,1,14
53367274,18,18201,2021,07,0,0,24
53367274,18,18201,2021,07,2,0,11
53367280,18,18201,2021,07,0,0,403
53367280,18,18201,2021,07,0,1,681
53367280,18,18201,2021,07,0,2,539
53367280,18,18201,2021,07,1,0,62
53367280,18,18201,2021,07,1,1,540
53367280,18,18201,2021,07,1,2,346
53367280,18,18201,2021,07,2,0,183
53367280,18,18201,2021,07,2,1,590
53367280,18,18201,2021,07,2,2,415
53367281,18,18201,2021,07,0,0,215
53367281,18,18201,2021,07,0,1,215
53367281,18,18201,2021,07,0,2,212
53367281,18,18201,2021,07,1,0,39
53367281,18,18201,2021,07,1,1,68
53367281,18,18201,2021,07,1,2,64
53367281,18,18201,2021,07,2,0,102
53367281,18,18201,2021,07,2,1,120
53367281,18,18201,2021,07,2,2,117
53367282,18,18201,2021,07,0,0,109
53367282,18,18201,2021,07,0,1,223
53367282,18,18201,2021,07,0,2,178
53367282,18,18201,2021,07,1,0,77
53367282,18,18201,2021,07,1,1,275
53367282,18,18201,2021,07,1,2,178
53367282,18,18201,2021,07,2,0,88
53367282,18,18201,2021,07,2,1,256
53367282,18,18201,2021,07,2,2,178
53367283,18,18201,2021,07,0,0,86
53367283,18,18201,2021,07,0,1,54
53367283,18,18201,2021,07,0,2,51
53367283,18,18201,2021,07,1,0,121
53367283,18,18201,2021,07,1,1,16
53367283,18,18201,2021,07,1,2,48
53367283,18,18201,2021,07,2,0,109
53367283,18,18201,2021,07,2,1,30
53367283,18,18201,2021,07,2,2,49
53367288,18,18201,2021,07,0,0,210
53367288,18,18201,2021,07,0,1,422
53367288,18,18201,2021,07,0,2,303
53367288,18,18201,2021,07,1,0,195
53367288,18,18201,2021,07,1,1,434
53367288,18,18201,2021,07,1,2,310
53367288,18,18201,2021,07,2,0,201
53367288,18,18201,2021,07,2,1,430
53367288,18,18201,2021,07,2,2,307
53367289,18,18201,2021,07,1,0,44
53367289,18,18201,2021,07,1,2,18
53367289,18,18201,2021,07,2,0,31
53367289,18,18201,2021,07,2,2,14
53367290,18,18201,2021,07,0,0,21
53367290,18,18201,2021,07,0,1,51
53367290,18,18201,2021,07,0,2,44
53367290,18,18201,2021,07,1,0,33
53367290,18,18201,2021,07,1,1,25
53367290,18,18201,2021,07,1,2,40
53367290,18,18201,2021,07,2,0,29
53367290,18,18201,2021,07,2,1,34
53367290,18,18201,2021,07,2,2,42
53367291,18,18201,2021,07,0,1,23
53367291,18,18201,2021,07,1,0,14
53367291,18,18201,2021,07,1,2,11
53367293,18,18201,2021,07,0,0,126
53367293,18,18201,2021,07,0,1,19
53367293,18,18201,2021,07,0,2,58
53367293,18,18201,2021,07,1,0,22
53367293,18,18201,2021,07,1,2,17
53367293,18,18201,2021,07,2,0,58
53367293,18,18201,2021,07,2,2,32
