year,month,dayflag,timezone,prefcode,citycode,from_area,population
2021,09,0,0,18,18201,0,221006
2021,09,0,0,18,18201,1,45720
2021,09,0,0,18,18201,2,4871
2021,09,0,0,18,18201,3,7499
2021,09,0,1,18,18201,0,243742
2021,09,0,1,18,18201,1,15339
2021,09,0,1,18,18201,2,2875
2021,09,0,1,18,18201,3,6902
2021,09,0,2,18,18201,0,235032
2021,09,0,2,18,18201,1,27897
2021,09,0,2,18,18201,2,3571
2021,09,0,2,18,18201,3,6970
2021,09,1,0,18,18201,0,211864
2021,09,1,0,18,18201,1,73237
2021,09,1,0,18,18201,2,5584
2021,09,1,0,18,18201,3,5846
2021,09,1,1,18,18201,0,246840
2021,09,1,1,18,18201,1,19868
2021,09,1,1,18,18201,2,2433
2021,09,1,1,18,18201,3,5871
2021,09,1,2,18,18201,0,231386
2021,09,1,2,18,18201,1,44807
2021,09,1,2,18,18201,2,3806
2021,09,1,2,18,18201,3,5901
2021,09,2,0,18,18201,0,214912
2021,09,2,0,18,18201,1,64065
2021,09,2,0,18,18201,2,5346
2021,09,2,0,18,18201,3,6397
2021,09,2,1,18,18201,0,245807
2021,09,2,1,18,18201,1,18358
2021,09,2,1,18,18201,2,2580
2021,09,2,1,18,18201,3,6214
2021,09,2,2,18,18201,0,232601
2021,09,2,2,18,18201,1,39170
2021,09,2,2,18,18201,2,3728
2021,09,2,2,18,18201,3,6258
2021,09,0,0,18,18202,0,53159
2021,09,0,0,18,18202,1,7196
2021,09,0,0,18,18202,2,1401
2021,09,0,0,18,18202,3,7666
2021,09,0,1,18,18202,0,58651
2021,09,0,1,18,18202,1,2822
2021,09,0,1,18,18202,2,964
2021,09,0,1,18,18202,3,3489
2021,09,0,2,18,18202,0,56689
2021,09,0,2,18,18202,1,4479
2021,09,0,2,18,18202,2,1148
2021,09,0,2,18,18202,3,5134
2021,09,1,0,18,18202,0,55892
2021,09,1,0,18,18202,1,8717
2021,09,1,0,18,18202,2,1444
2021,09,1,0,18,18202,3,4635
2021,09,1,1,18,18202,0,61287
2021,09,1,1,18,18202,1,2569
2021,09,1,1,18,18202,2,1055
2021,09,1,1,18,18202,3,3303
2021,09,1,2,18,18202,0,58904
2021,09,1,2,18,18202,1,5290
2021,09,1,2,18,18202,2,1217
2021,09,1,2,18,18202,3,3933
2021,09,2,0,18,18202,0,54981
2021,09,2,0,18,18202,1,8210
2021,09,2,0,18,18202,2,1430
2021,09,2,0,18,18202,3,5646
2021,09,2,1,18,18202,0,60409
2021,09,2,1,18,18202,1,2653
2021,09,2,1,18,18202,2,1025
2021,09,2,1,18,18202,3,3365
2021,09,2,2,18,18202,0,58166
2021,09,2,2,18,18202,1,5020
2021,09,2,2,18,18202,2,1194
2021,09,2,2,18,18202,3,4333
2021,09,0,0,18,18204,0,24241
2021,09,0,0,18,18204,1,2862
2021,09,0,0,18,18204,2,186
2021,09,0,0,18,18204,3,3328
2021,09,0,1,18,18204,0,26216
2021,09,0,1,18,18204,1,1186
2021,09,0,1,18,18204,2,163
2021,09,0,1,18,18204,3,1995
2021,09,0,2,18,18204,0,25580
2021,09,0,2,18,18204,1,1761
2021,09,0,2,18,18204,2,167
2021,09,0,2,18,18204,3,2344
2021,09,1,0,18,18204,0,22786
2021,09,1,0,18,18204,1,4172
2021,09,1,0,18,18204,2,155
2021,09,1,0,18,18204,3,1971
2021,09,1,1,18,18204,0,26479
2021,09,1,1,18,18204,1,2027
2021,09,1,1,18,18204,2,64
2021,09,1,1,18,18204,3,1206
2021,09,1,2,18,18204,0,24983
2021,09,1,2,18,18204,1,3023
2021,09,1,2,18,18204,2,85
2021,09,1,2,18,18204,3,1487
2021,09,2,0,18,18204,0,23271
2021,09,2,0,18,18204,1,3736
2021,09,2,0,18,18204,2,166
2021,09,2,0,18,18204,3,2424
2021,09,2,1,18,18204,0,26392
2021,09,2,1,18,18204,1,1747
2021,09,2,1,18,18204,2,97
2021,09,2,1,18,18204,3,1469
2021,09,2,2,18,18204,0,25182
2021,09,2,2,18,18204,1,2603
2021,09,2,2,18,18204,2,112
2021,09,2,2,18,18204,3,1773
2021,09,0,0,18,18205,0,26862
2021,09,0,0,18,18205,1,4986
2021,09,0,0,18,18205,2,426
2021,09,0,0,18,18205,3,1722
2021,09,0,1,18,18205,0,30954
2021,09,0,1,18,18205,1,1430
2021,09,0,1,18,18205,2,183
2021,09,0,1,18,18205,3,1029
2021,09,0,2,18,18205,0,29241
2021,09,0,2,18,18205,1,2598
2021,09,0,2,18,18205,2,242
2021,09,0,2,18,18205,3,1348
2021,09,1,0,18,18205,0,22821
2021,09,1,0,18,18205,1,5590
2021,09,1,0,18,18205,2,236
2021,09,1,0,18,18205,3,1124
2021,09,1,1,18,18205,0,30018
2021,09,1,1,18,18205,1,1307
2021,09,1,1,18,18205,2,79
2021,09,1,1,18,18205,3,371
2021,09,1,2,18,18205,0,26868
2021,09,1,2,18,18205,1,2937
2021,09,1,2,18,18205,2,142
2021,09,1,2,18,18205,3,689
2021,09,2,0,18,18205,0,24168
2021,09,2,0,18,18205,1,5389
2021,09,2,0,18,18205,2,300
2021,09,2,0,18,18205,3,1323
2021,09,2,1,18,18205,0,30330
2021,09,2,1,18,18205,1,1348
2021,09,2,1,18,18205,2,114
2021,09,2,1,18,18205,3,591
2021,09,2,2,18,18205,0,27659
2021,09,2,2,18,18205,1,2824
