year,month,dayflag,timezone,prefcode,citycode,from_area,population
2021,03,0,0,18,18201,0,221693
2021,03,0,0,18,18201,1,51766
2021,03,0,0,18,18201,2,4720
2021,03,0,0,18,18201,3,9514
2021,03,0,1,18,18201,0,240547
2021,03,0,1,18,18201,1,18732
2021,03,0,1,18,18201,2,3080
2021,03,0,1,18,18201,3,7934
2021,03,0,2,18,18201,0,232948
2021,03,0,2,18,18201,1,31745
2021,03,0,2,18,18201,2,3717
2021,03,0,2,18,18201,3,8512
2021,03,1,0,18,18201,0,210804
2021,03,1,0,18,18201,1,76338
2021,03,1,0,18,18201,2,6807
2021,03,1,0,18,18201,3,7425
2021,03,1,1,18,18201,0,246957
2021,03,1,1,18,18201,1,18172
2021,03,1,1,18,18201,2,2945
2021,03,1,1,18,18201,3,6475
2021,03,1,2,18,18201,0,230588
2021,03,1,2,18,18201,1,46096
2021,03,1,2,18,18201,2,4515
2021,03,1,2,18,18201,3,6846
2021,03,2,0,18,18201,0,213614
2021,03,2,0,18,18201,1,69997
2021,03,2,0,18,18201,2,6269
2021,03,2,0,18,18201,3,7964
2021,03,2,1,18,18201,0,245303
2021,03,2,1,18,18201,1,18317
2021,03,2,1,18,18201,2,2980
2021,03,2,1,18,18201,3,6851
2021,03,2,2,18,18201,0,231197
2021,03,2,2,18,18201,1,42393
2021,03,2,2,18,18201,2,4309
2021,03,2,2,18,18201,3,7276
2021,03,0,0,18,18202,0,51824
2021,03,0,0,18,18202,1,7169
2021,03,0,0,18,18202,2,1325
2021,03,0,0,18,18202,3,6185
2021,03,0,1,18,18202,0,58394
2021,03,0,1,18,18202,1,3044
2021,03,0,1,18,18202,2,784
2021,03,0,1,18,18202,3,3011
2021,03,0,2,18,18202,0,55886
2021,03,0,2,18,18202,1,4792
2021,03,0,2,18,18202,2,1065
2021,03,0,2,18,18202,3,4323
2021,03,1,0,18,18202,0,55640
2021,03,1,0,18,18202,1,9799
2021,03,1,0,18,18202,2,1432
2021,03,1,0,18,18202,3,4748
2021,03,1,1,18,18202,0,61156
2021,03,1,1,18,18202,1,2752
2021,03,1,1,18,18202,2,985
2021,03,1,1,18,18202,3,2815
2021,03,1,2,18,18202,0,58625
2021,03,1,2,18,18202,1,5926
2021,03,1,2,18,18202,2,1194
2021,03,1,2,18,18202,3,3766
2021,03,2,0,18,18202,0,54655
2021,03,2,0,18,18202,1,9121
2021,03,2,0,18,18202,2,1404
2021,03,2,0,18,18202,3,5118
2021,03,2,1,18,18202,0,60443
2021,03,2,1,18,18202,1,2827
2021,03,2,1,18,18202,2,933
2021,03,2,1,18,18202,3,2865
2021,03,2,2,18,18202,0,57918
2021,03,2,2,18,18202,1,5633
2021,03,2,2,18,18202,2,1160
2021,03,2,2,18,18202,3,3910
2021,03,0,0,18,18204,0,22204
2021,03,0,0,18,18204,1,3408
2021,03,0,0,18,18204,2,452
2021,03,0,0,18,18204,3,2743
2021,03,0,1,18,18204,0,25760
2021,03,0,1,18,18204,1,1508
2021,03,0,1,18,18204,2,342
2021,03,0,1,18,18204,3,1409
2021,03,0,2,18,18204,0,24432
2021,03,0,2,18,18204,1,2328
2021,03,0,2,18,18204,2,363
2021,03,0,2,18,18204,3,1792
2021,03,1,0,18,18204,0,21709
2021,03,1,0,18,18204,1,4433
2021,03,1,0,18,18204,2,448
2021,03,1,0,18,18204,3,1617
2021,03,1,1,18,18204,0,25930
2021,03,1,1,18,18204,1,1323
2021,03,1,1,18,18204,2,239
2021,03,1,1,18,18204,3,991
2021,03,1,2,18,18204,0,24205
2021,03,1,2,18,18204,1,2730
